City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
201,Port Hawkesbury,91,CA,2021-07-20 23:04:46,86,45.6169,-61.3485,74.03,6.8
202,Saint-Georges,20,GD,2021-07-20 23:04:46,78,12.0564,-61.7485,82.08,13.8
203,Mandurah,100,AU,2021-07-20 23:04:46,90,-32.55,115.7,55.22,17.49
204,Kavieng,100,PG,2021-07-20 23:04:47,73,-2.5744,150.7967,82.44,5.44
205,Mehamn,98,NO,2021-07-20 23:04:47,95,71.0357,27.8492,42.66,18.59
206,Santa Fe,0,AR,2021-07-20 23:04:47,48,-31.6333,-60.7,56.98,1.99
207,Poindimie,3,NC,2021-07-20 23:04:48,66,-20.9333,165.3333,74.03,3.47
208,Chelno-Vershiny,79,RU,2021-07-20 23:04:48,98,54.4333,51.1,65.64,7.25
209,Bathsheba,40,BB,2021-07-20 23:04:49,78,13.2167,-59.5167,83.01,19.57
210,Kaohsiung,90,TW,2021-07-20 23:01:50,100,22.6163,120.3133,85.08,4.0
211,Auki,79,SB,2021-07-20 23:04:49,73,-8.7676,160.7034,82.51,4.9
212,Milkovo,95,RU,2021-07-20 23:04:50,65,54.7167,158.6167,69.48,3.22
213,Itoman,75,JP,2021-07-20 23:04:50,89,26.1247,127.6694,80.62,33.38
214,North Myrtle Beach,90,US,2021-07-20 23:04:06,92,33.816,-78.68,80.65,3.44
215,Praia,75,CV,2021-07-20 23:04:50,78,14.9215,-23.5087,77.54,8.05
216,Victoria,100,HK,2021-07-20 23:00:22,95,22.2855,114.1577,80.58,1.99
217,Zeya,61,RU,2021-07-20 23:04:51,88,53.75,127.2667,69.89,1.95
218,East London,100,ZA,2021-07-20 23:04:51,72,-33.0153,27.9116,56.35,23.0
219,Georgetown,20,MY,2021-07-20 23:00:17,82,5.4112,100.3354,80.89,0.0
220,Bitung,93,ID,2021-07-20 23:04:52,78,1.4451,125.1824,81.45,4.32
221,Mount Isa,60,AU,2021-07-20 23:00:52,44,-20.7333,139.5,56.97,1.14
222,Ponta Delgada,40,PT,2021-07-20 23:04:52,100,37.7333,-25.6667,68.72,11.5
223,Huaraz,90,PE,2021-07-20 23:00:47,63,-9.5333,-77.5333,56.88,3.15
224,San Pedro Pinula,46,GT,2021-07-20 23:04:53,72,14.6667,-89.85,76.21,4.29
225,Bontang,76,ID,2021-07-20 23:04:53,88,0.1333,117.5,77.74,6.22
226,Kangaba,95,ML,2021-07-20 23:04:54,68,11.9333,-8.4167,78.93,5.32
227,Airai,38,TL,2021-07-20 23:04:54,80,-8.9266,125.4092,59.02,3.89
228,Moyale,100,KE,2021-07-20 23:04:55,56,3.5167,39.0584,68.9,15.3
229,Shagamu,100,NG,2021-07-20 23:04:55,91,6.8432,3.6478,74.62,3.47
230,New Norfolk,81,AU,2021-07-20 23:04:56,79,-42.7826,147.0587,47.57,1.99
